Rosalind_1581 Rosalind_8834
Rosalind_0427 Rosalind_0691
Rosalind_7447 Rosalind_1183
Rosalind_7447 Rosalind_9855
Rosalind_0334 Rosalind_1204
Rosalind_0334 Rosalind_9106
Rosalind_0334 Rosalind_8991
Rosalind_0334 Rosalind_0075
Rosalind_3992 Rosalind_1116
Rosalind_0655 Rosalind_2832
Rosalind_3853 Rosalind_7447
Rosalind_3853 Rosalind_3992
Rosalind_3853 Rosalind_2268
Rosalind_3853 Rosalind_7593
Rosalind_1116 Rosalind_1183
Rosalind_1116 Rosalind_9855
Rosalind_5830 Rosalind_1204
Rosalind_5830 Rosalind_9106
Rosalind_5830 Rosalind_8991
Rosalind_5830 Rosalind_0075
Rosalind_1383 Rosalind_0662
Rosalind_1383 Rosalind_4531
Rosalind_1383 Rosalind_6439
Rosalind_0662 Rosalind_1581
Rosalind_0662 Rosalind_8791
Rosalind_3415 Rosalind_3978
Rosalind_6054 Rosalind_9463
Rosalind_6054 Rosalind_5424
Rosalind_2832 Rosalind_0334
Rosalind_0878 Rosalind_1581
Rosalind_0878 Rosalind_8791
Rosalind_2453 Rosalind_1204
Rosalind_2453 Rosalind_9106
Rosalind_2453 Rosalind_8991
Rosalind_2453 Rosalind_0075
Rosalind_5836 Rosalind_2832
Rosalind_5138 Rosalind_3307
Rosalind_5138 Rosalind_7215
Rosalind_5138 Rosalind_3515
Rosalind_5138 Rosalind_9110
Rosalind_4843 Rosalind_1204
Rosalind_4843 Rosalind_9106
Rosalind_4843 Rosalind_8991
Rosalind_4843 Rosalind_0075
Rosalind_7109 Rosalind_1749
Rosalind_2186 Rosalind_6543
Rosalind_2186 Rosalind_1990
Rosalind_7294 Rosalind_0662
Rosalind_7294 Rosalind_4531
Rosalind_7294 Rosalind_6439
Rosalind_1567 Rosalind_8878
Rosalind_6895 Rosalind_9813
Rosalind_8408 Rosalind_8553
Rosalind_8408 Rosalind_2272
Rosalind_7215 Rosalind_3048
Rosalind_1204 Rosalind_4639
Rosalind_1204 Rosalind_3428
Rosalind_3703 Rosalind_7436
Rosalind_3703 Rosalind_7284
Rosalind_3703 Rosalind_9011
Rosalind_8315 Rosalind_2832
Rosalind_4639 Rosalind_7026
Rosalind_4639 Rosalind_9123
Rosalind_1183 Rosalind_3853
Rosalind_1183 Rosalind_0878
Rosalind_1183 Rosalind_7109
Rosalind_1183 Rosalind_2101
Rosalind_2378 Rosalind_7510
Rosalind_2378 Rosalind_6839
Rosalind_5337 Rosalind_0691
Rosalind_9463 Rosalind_0655
Rosalind_9463 Rosalind_2631
Rosalind_7026 Rosalind_7436
Rosalind_7026 Rosalind_7284
Rosalind_7026 Rosalind_9011
Rosalind_3790 Rosalind_8878
Rosalind_6543 Rosalind_3834
Rosalind_6543 Rosalind_2400
Rosalind_1990 Rosalind_8221
Rosalind_7436 Rosalind_5138
Rosalind_8878 Rosalind_2832
Rosalind_7284 Rosalind_3978
Rosalind_8913 Rosalind_3048
Rosalind_2101 Rosalind_4167
Rosalind_2631 Rosalind_7068
Rosalind_2631 Rosalind_0932
Rosalind_6439 Rosalind_0691
Rosalind_8991 Rosalind_4167
Rosalind_4167 Rosalind_4843
Rosalind_4167 Rosalind_6512
Rosalind_4167 Rosalind_8978
Rosalind_3978 Rosalind_5836
Rosalind_3978 Rosalind_2378
Rosalind_8978 Rosalind_6240
Rosalind_0780 Rosalind_3834
Rosalind_0780 Rosalind_2400
Rosalind_3428 Rosalind_8553
Rosalind_3428 Rosalind_2272
Rosalind_8553 Rosalind_6240
Rosalind_2400 Rosalind_9463
Rosalind_2400 Rosalind_5424
Rosalind_8834 Rosalind_0691
Rosalind_9110 Rosalind_3048
Rosalind_6240 Rosalind_3307
Rosalind_6240 Rosalind_7215
Rosalind_6240 Rosalind_3515
Rosalind_6240 Rosalind_9110
Rosalind_9123 Rosalind_5138
Rosalind_7883 Rosalind_8417
Rosalind_7883 Rosalind_5244
Rosalind_7883 Rosalind_6668
Rosalind_9813 Rosalind_5836
Rosalind_9813 Rosalind_2378
Rosalind_1749 Rosalind_0334
Rosalind_5896 Rosalind_0427
Rosalind_5896 Rosalind_1383
Rosalind_5896 Rosalind_6895
Rosalind_5896 Rosalind_4197
Rosalind_3048 Rosalind_5138
Rosalind_8417 Rosalind_3853
Rosalind_8417 Rosalind_0878
Rosalind_8417 Rosalind_7109
Rosalind_8417 Rosalind_2101
Rosalind_2272 Rosalind_8581
Rosalind_2272 Rosalind_8876
Rosalind_7593 Rosalind_3853
Rosalind_7593 Rosalind_0878
Rosalind_7593 Rosalind_7109
Rosalind_7593 Rosalind_2101
Rosalind_5244 Rosalind_7294
Rosalind_0932 Rosalind_0427
Rosalind_0932 Rosalind_1383
Rosalind_0932 Rosalind_6895
Rosalind_0932 Rosalind_4197
Rosalind_9011 Rosalind_0334
Rosalind_8818 Rosalind_3048
Rosalind_6668 Rosalind_5836
Rosalind_6668 Rosalind_2378
Rosalind_5499 Rosalind_5138
Rosalind_5424 Rosalind_8581
Rosalind_5424 Rosalind_8876
